,Total_floor,Curent_floor,Price,TotalSq,pass_elevator,gruz_elevator,balkon,lodgya,sovmest_sanuz,razdeln_sanuz,Is_second,CentrDist,sell_type_214-FZ,sell_type_GSK_dogovor,sell_type_alternativa,sell_type_free,sell_type_pereustupka,sell_type_predvarit_dogovor,phone_no,phone_yes,parking_mnogour,parking_na_krishe,parking_nazemn,parking_otkritaya,parking_podzemn,age
1176,8,20,8900000.0,42.0,1,1,0,1,1.0,0.0,1,11.685821104785,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0
1177,4,24,38000000.0,88.0,0,0,1,1,2.0,0.0,1,3.455416338581229,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
1178,16,50,120000067575720.0,177.0,3,1,0,0,2.0,0.0,1,6.91644731726074,0,0,0,1,0,0,0,0,0,0,0,0,1,11.0
1179,3,3,1440000.0,29.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1180,1,9,1540000.0,12.0,0,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1181,2,21,1590000.0,13.0,1,1,0,0,1.0,0.0,1,29.095391946912354,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
1182,1,3,1730000.0,34.0,0,0,0,0,0.0,0.0,0,53.25995082158847,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
1183,1,9,1790000.0,12.0,1,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1184,1,9,1790000.0,11.4,0,0,0,0,1.0,0.0,1,21.307843822400677,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
1185,1,3,1800001.0,34.2,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
1186,1,3,1800000.0,34.8,0,0,0,0,0.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1187,1,3,1800000.0,34.0,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1188,2,3,1850000.0,34.2,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1189,1,2,1880000.0,27.0,0,0,0,0,0.0,1.0,1,24.819691720504583,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1190,1,3,1890000.0,20.0,0,0,0,0,1.0,0.0,1,21.175445134449745,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1191,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
1192,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,0,0,0,0,1,0,0,15.0
1193,1,3,1900000.0,34.8,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
1194,1,3,1950000.0,34.0,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1195,2,4,1990000.0,38.0,0,0,0,1,1.0,0.0,1,18.449493672691766,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0
1196,3,3,1990000.0,32.0,0,0,0,0,1.0,0.0,1,27.035442951034074,0,0,0,1,0,0,0,1,0,0,1,0,0,7.0
1197,2,3,1990000.0,27.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1198,1,3,1990000.0,19.3,0,0,0,0,1.0,0.0,1,22.480575987389614,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1199,2,3,1990000.0,26.0,0,0,0,0,1.0,0.0,1,22.337932701237037,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1200,3,3,1990000.0,32.0,0,0,0,0,1.0,0.0,1,27.035442951034074,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1201,3,4,1990000.0,24.6,0,0,0,1,1.0,0.0,1,29.476103829370633,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0
1202,2,22,2090000.0,21.0,2,2,0,0,1.0,0.0,1,28.39791709946304,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0
1203,2,3,2090000.0,26.0,0,0,0,0,0.0,0.0,1,29.025480426975143,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
